Filename	"Image Type"	"Instance Number"	"Number of Frames"	"Pixel Spacing"	"Specimen Label in Image"	"Number of Optical Paths"	"Total Pixel Matrix Focal Planes"
"./nference^patient [AKq32AMr]/20200924 120527 [1]/Series 001 [SM]/1.2.826.0.1.3680043.10.559.1674488891081305883332469713676357785.dcm"	"ORIGINAL\PRIMARY\VOLUME\RESAMPLED"	"6"	"24"	"0.015968\0.015968"	"NO"	"1"	"1"
"./nference^patient [AKq32AMr]/20200924 120527 [1]/Series 001 [SM]/1.2.826.0.1.3680043.10.559.2656375165336004678369948018131897256.dcm"	"ORIGINAL\PRIMARY\VOLUME\RESAMPLED"	"2"	"4558"	"0.000998\0.000998"	"NO"	"1"	"1"
"./nference^patient [AKq32AMr]/20200924 120527 [1]/Series 001 [SM]/1.2.826.0.1.3680043.10.559.4249738650377581953754405811523066215.dcm"	"ORIGINAL\PRIMARY\LABEL\NONE"	"10"	"1"	"0.0002495\0.0002495"	"NO"	"1"	"1"
"./nference^patient [AKq32AMr]/20200924 120527 [1]/Series 001 [SM]/1.2.826.0.1.3680043.10.559.6312189705993070859137004858740855001.dcm"	"ORIGINAL\PRIMARY\VOLUME\RESAMPLED"	"8"	"2"	"0.063872\0.063872"	"NO"	"1"	"1"
"./nference^patient [AKq32AMr]/20200924 120527 [1]/Series 001 [SM]/1.2.826.0.1.3680043.10.559.7129348387539561583877724903690641594.dcm"	"ORIGINAL\PRIMARY\LOCALIZER\NONE"	"9"	"1"	"0.000499\0.000499"	"NO"	"1"	"1"
"./nference^patient [AKq32AMr]/20200924 120527 [1]/Series 001 [SM]/1.2.826.0.1.3680043.10.559.7597210105728789315977852711331403617.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"18060"	"0.000499\0.000499"	"NO"	"1"	"1"
"./Patricia^Huron [8528631]/20180904 190012 [100 00 0000 - Colon polyps]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601001847.136.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"957"	"0.000400\0.000400"	"NO"	""	"1"
"./Patricia^Huron [8528631]/20180904 190012 [100 00 0000 - Colon polyps]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601001847.141.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"2"	"72"	"0.001600\0.001600"	"NO"	""	"1"
"./Patricia^Huron [8528631]/20180904 190012 [100 00 0000 - Colon polyps]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601001847.144.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"3"	"6"	"0.006400\0.006400"	"NO"	""	"1"
"./Patricia^Huron [8528631]/20180904 190012 [100 00 0000 - Colon polyps]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601001847.147.dcm"	"ORIGINAL\PRIMARY\LABEL\NONE"	"4"	"1"	"0.100000\0.100000"	"NO"	""	"1"
"./Philips^Amy [123456]/20181003 095253/Series 001 [SM]/1.3.6.1.4.1.5962.99.1.3002151337.1017604488.1540600476073.2.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"2812"	".0005\.0005"	"NO"	"1"	"1"
"./Philips^Amy [123456]/20181003 095253/Series 001 [SM]/1.3.6.1.4.1.5962.99.1.3002151337.1017604488.1540600476073.3.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"703"	".001\.001"	"NO"	"1"	"1"
"./Philips^Amy [123456]/20181003 095253/Series 001 [SM]/1.3.6.1.4.1.5962.99.1.3002151337.1017604488.1540600476073.4.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"190"	".002\.002"	"NO"	"1"	"1"
"./Philips^Amy [123456]/20181003 095253/Series 001 [SM]/1.3.6.1.4.1.5962.99.1.3002151337.1017604488.1540600476073.5.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"50"	".004\.004"	"NO"	"1"	"1"
"./Philips^Amy [123456]/20181003 095253/Series 001 [SM]/1.3.6.1.4.1.5962.99.1.3002151337.1017604488.1540600476073.6.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"15"	".008\.008"	"NO"	"1"	"1"
"./Philips^Amy [123456]/20181003 095253/Series 001 [SM]/1.3.6.1.4.1.5962.99.1.3002151337.1017604488.1540600476073.7.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"6"	".016\.016"	"NO"	"1"	"1"
"./Philips^Amy [123456]/20181003 095253/Series 001 [SM]/1.3.6.1.4.1.5962.99.1.3002151337.1017604488.1540600476073.8.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"2"	".032\.032"	"NO"	"1"	"1"
"./Philips^Amy [123456]/20181003 095253/Series 001 [SM]/1.3.6.1.4.1.5962.99.1.3002151337.1017604488.1540600476073.9.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"1"	".064\.064"	"NO"	"1"	"1"
"./Philips^Bob [234567]/20181003 095254/Series 001 [SM]/1.3.6.1.4.1.5962.99.1.2952843928.625234595.1540551168664.3.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"2332"	".001\.001"	"NO"	"1"	"1"
"./Philips^Bob [234567]/20181003 095254/Series 001 [SM]/1.3.6.1.4.1.5962.99.1.2952843928.625234595.1540551168664.4.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"594"	".002\.002"	"NO"	"1"	"1"
"./Philips^Bob [234567]/20181003 095254/Series 001 [SM]/1.3.6.1.4.1.5962.99.1.2952843928.625234595.1540551168664.5.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"154"	".004\.004"	"NO"	"1"	"1"
"./Philips^Bob [234567]/20181003 095254/Series 001 [SM]/1.3.6.1.4.1.5962.99.1.2952843928.625234595.1540551168664.6.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"42"	".008\.008"	"NO"	"1"	"1"
"./Philips^Bob [234567]/20181003 095254/Series 001 [SM]/1.3.6.1.4.1.5962.99.1.2952843928.625234595.1540551168664.7.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"12"	".016\.016"	"NO"	"1"	"1"
"./Philips^Bob [234567]/20181003 095254/Series 001 [SM]/1.3.6.1.4.1.5962.99.1.2952843928.625234595.1540551168664.8.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"4"	".032\.032"	"NO"	"1"	"1"
"./Philips^Bob [234567]/20181003 095254/Series 001 [SM]/1.3.6.1.4.1.5962.99.1.2952843928.625234595.1540551168664.9.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"1"	".064\.064"	"NO"	"1"	"1"
"./Philips^Bob [234567]/20181003 095254/Series 002 [SM]/1.3.6.1.4.1.5962.99.1.2968248524.2045690238.1540566573260.10.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"1"	".128\.128"	"NO"	"1"	"1"
"./Philips^Bob [234567]/20181003 095254/Series 002 [SM]/1.3.6.1.4.1.5962.99.1.2968248524.2045690238.1540566573260.3.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"2838"	".001\.001"	"NO"	"1"	"1"
"./Philips^Bob [234567]/20181003 095254/Series 002 [SM]/1.3.6.1.4.1.5962.99.1.2968248524.2045690238.1540566573260.4.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"726"	".002\.002"	"NO"	"1"	"1"
"./Philips^Bob [234567]/20181003 095254/Series 002 [SM]/1.3.6.1.4.1.5962.99.1.2968248524.2045690238.1540566573260.5.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"187"	".004\.004"	"NO"	"1"	"1"
"./Philips^Bob [234567]/20181003 095254/Series 002 [SM]/1.3.6.1.4.1.5962.99.1.2968248524.2045690238.1540566573260.6.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"54"	".008\.008"	"NO"	"1"	"1"
"./Philips^Bob [234567]/20181003 095254/Series 002 [SM]/1.3.6.1.4.1.5962.99.1.2968248524.2045690238.1540566573260.7.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"15"	".016\.016"	"NO"	"1"	"1"
"./Philips^Bob [234567]/20181003 095254/Series 002 [SM]/1.3.6.1.4.1.5962.99.1.2968248524.2045690238.1540566573260.8.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"6"	".032\.032"	"NO"	"1"	"1"
"./Philips^Bob [234567]/20181003 095254/Series 002 [SM]/1.3.6.1.4.1.5962.99.1.2968248524.2045690238.1540566573260.9.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"2"	".064\.064"	"NO"	"1"	"1"
"./Philips^Chris [345678]/20181003 095255/Series 002 [SM]/1.3.6.1.4.1.5962.99.1.3777458795.792694104.1541375783531.2.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"4361"	".0005\.0005"	"NO"	"1"	"1"
"./Philips^Chris [345678]/20181003 095255/Series 002 [SM]/1.3.6.1.4.1.5962.99.1.3777458795.792694104.1541375783531.3.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"1125"	".001\.001"	"NO"	"1"	"1"
"./Philips^Chris [345678]/20181003 095255/Series 002 [SM]/1.3.6.1.4.1.5962.99.1.3777458795.792694104.1541375783531.4.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"299"	".002\.002"	"NO"	"1"	"1"
"./Philips^Chris [345678]/20181003 095255/Series 002 [SM]/1.3.6.1.4.1.5962.99.1.3777458795.792694104.1541375783531.5.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"84"	".004\.004"	"NO"	"1"	"1"
"./Philips^Chris [345678]/20181003 095255/Series 002 [SM]/1.3.6.1.4.1.5962.99.1.3777458795.792694104.1541375783531.6.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"24"	".008\.008"	"NO"	"1"	"1"
"./Philips^Chris [345678]/20181003 095255/Series 002 [SM]/1.3.6.1.4.1.5962.99.1.3777458795.792694104.1541375783531.7.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"6"	".016\.016"	"NO"	"1"	"1"
"./Philips^Chris [345678]/20181003 095255/Series 002 [SM]/1.3.6.1.4.1.5962.99.1.3777458795.792694104.1541375783531.8.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"2"	".032\.032"	"NO"	"1"	"1"
"./Philips^Chris [345678]/20181003 095255/Series 002 [SM]/1.3.6.1.4.1.5962.99.1.3777458795.792694104.1541375783531.9.0.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"1"	".064\.064"	"NO"	"1"	"1"
"./Quinn^Huron [1473695]/20180904 170000 [100 00 0001 - Placenta]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601001929.150.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"1950"	"0.000400\0.000400"	"NO"	""	"1"
"./Quinn^Huron [1473695]/20180904 170000 [100 00 0001 - Placenta]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601001929.155.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"2"	"130"	"0.001600\0.001600"	"NO"	""	"1"
"./Quinn^Huron [1473695]/20180904 170000 [100 00 0001 - Placenta]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601001929.158.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"3"	"12"	"0.006400\0.006400"	"NO"	""	"1"
"./Quinn^Huron [1473695]/20180904 170000 [100 00 0001 - Placenta]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601001929.161.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"4"	"1"	"0.025600\0.025600"	"NO"	""	"1"
"./Quinn^Huron [1473695]/20180904 170000 [100 00 0001 - Placenta]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601001929.164.dcm"	"ORIGINAL\PRIMARY\LABEL\NONE"	"5"	"1"	"0.100000\0.100000"	"NO"	""	"1"
"./Quinn^Huron [1473695]/20180904 170000 [100 00 0001 - Placenta]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601002049.167.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"2891"	"0.000400\0.000400"	"NO"	""	"1"
"./Quinn^Huron [1473695]/20180904 170000 [100 00 0001 - Placenta]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601002050.172.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"2"	"195"	"0.001600\0.001600"	"NO"	""	"1"
"./Quinn^Huron [1473695]/20180904 170000 [100 00 0001 - Placenta]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601002050.175.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"3"	"16"	"0.006400\0.006400"	"NO"	""	"1"
"./Quinn^Huron [1473695]/20180904 170000 [100 00 0001 - Placenta]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601002050.178.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"4"	"1"	"0.025600\0.025600"	"NO"	""	"1"
"./Quinn^Huron [1473695]/20180904 170000 [100 00 0001 - Placenta]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601002050.181.dcm"	"ORIGINAL\PRIMARY\LABEL\NONE"	"5"	"1"	"0.100000\0.100000"	"NO"	""	"1"
"./Robert^Huron [2581674]/20180904 210000 [100 00 0002 - Skin excision]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601002190.184.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"3358"	"0.000400\0.000400"	"NO"	""	"1"
"./Robert^Huron [2581674]/20180904 210000 [100 00 0002 - Skin excision]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601002191.189.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"2"	"228"	"0.001600\0.001600"	"NO"	""	"1"
"./Robert^Huron [2581674]/20180904 210000 [100 00 0002 - Skin excision]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601002191.192.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"3"	"15"	"0.006400\0.006400"	"NO"	""	"1"
"./Robert^Huron [2581674]/20180904 210000 [100 00 0002 - Skin excision]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601002191.195.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"4"	"2"	"0.025600\0.025600"	"NO"	""	"1"
"./Robert^Huron [2581674]/20180904 210000 [100 00 0002 - Skin excision]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601002191.198.dcm"	"ORIGINAL\PRIMARY\LABEL\NONE"	"5"	"1"	"0.100000\0.100000"	"NO"	""	"1"
"./Robert^Huron [2581674]/20180904 210000 [100 00 0002 - Skin excision]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601002333.201.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"1"	"3827"	"0.000400\0.000400"	"NO"	""	"1"
"./Robert^Huron [2581674]/20180904 210000 [100 00 0002 - Skin excision]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601002335.206.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"2"	"253"	"0.001600\0.001600"	"NO"	""	"1"
"./Robert^Huron [2581674]/20180904 210000 [100 00 0002 - Skin excision]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601002335.209.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"3"	"18"	"0.006400\0.006400"	"NO"	""	"1"
"./Robert^Huron [2581674]/20180904 210000 [100 00 0002 - Skin excision]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601002335.212.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"4"	"2"	"0.025600\0.025600"	"NO"	""	"1"
"./Robert^Huron [2581674]/20180904 210000 [100 00 0002 - Skin excision]/Series 382183763 [SM]/1.2.276.0.7230010.3.1.4.3376381013.14472.1601002335.215.dcm"	"ORIGINAL\PRIMARY\LABEL\NONE"	"5"	"1"	"0.100000\0.100000"	"NO"	""	"1"
